Site,98/99,99/0,0/1,1/2,2/3,3/4,4/5,5/6,6/7,7/8,8/9,9/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Wolvercote Lakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Woodhorn Flashes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Wootton Creek,4Standard visit under the WeBS Low Tide Count SurveyWeBS,4Standard visit under the WeBS Low Tide Count SurveyWeBS,8.0,8.0,5.0,5.0,nan,nan,3.0,3.0,4Standard visit under the WeBS Low Tide Count SurveyWeBS,4Standard visit under the WeBS Low Tide Count SurveyWeBS,8.0,8.0,5.0,5.0,nan,nan,3.0,3.0,Feb,5.0,6
Wroughton Reservoir,0,0,1.0,1.0,0.0,0.0,2,2,2.0,2.0,0,0,1.0,1.0,0.0,0.0,2,2,2.0,2.0,Jul,1.0,6
Wykeham Lakes,8,8,7.0,7.0,6.0,6.0,10,10,15.0,15.0,8,8,7.0,7.0,6.0,6.0,10,10,15.0,15.0,Oct,9.0,6
Yare Valley - Marlingford to Bawburgh,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
Yew Tree Farm Pool,4,4,3.0,3.0,2.0,2.0,2,2,2.0,2.0,4,4,3.0,3.0,2.0,2.0,2,2,2.0,2.0,Jul,3.0,6
Ynys-y-Fro Reservoir,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,6
Alexandra Park Ponds,65,65,61.0,61.0,36.0,36.0,45,45,47.0,47.0,65,65,61.0,61.0,36.0,36.0,45,45,47.0,47.0,Jan,51.0,5
Alloch Dam,8,8,8.0,8.0,4.0,4.0,2,2,9.0,9.0,8,8,8.0,8.0,4.0,4.0,2,2,9.0,9.0,May,6.0,5
Antermony Loch,1,1,1.0,1.0,8.0,8.0,2,2,5.0,5.0,1,1,1.0,1.0,8.0,8.0,2,2,5.0,5.0,Nov,3.0,5
Ashbyville Lake Scunthorpe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Auchendores and Leperstone Reservoirs,4,4,2,2,3,3,5,5,7Supplementary visit under the WeBS Core Count SurveyWeBS,7Supplementary visit under the WeBS Core Count SurveyWeBS,4,4,2,2,3,3,5,5,7Supplementary visit under the WeBS Core Count SurveyWeBS,7Supplementary visit under the WeBS Core Count SurveyWeBS,Jan,4.0,5
Balbeggie Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Balmore Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Barmston Ponds,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,Dec,1.0,5
Bemersyde Moss,2,2,14,14,2,2,2,2,4,4,2,2,14,14,2,2,2,2,4,4,Feb,5.0,5
Bennerley Marsh,nan,nan,6,6,10,10,2,2,nan,nan,nan,nan,6,6,10,10,2,2,nan,nan,nan,6.0,5
Beveridge Pond Kirkcaldy,6,6,7,7,6,6,2,2,7,7,6,6,7,7,6,6,2,2,7,7,Oct,6.0,5
Bingham's Pond,75,75,116,116,79,79,69,69,65,65,75,75,116,116,79,79,69,69,65,65,Nov,81.0,5
Borrowpit Lake,16,16,32,32,15,15,nan,nan,66,66,16,16,32,32,15,15,nan,nan,66,66,Apr,32.0,5
Brake Mill Farm Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Bramley Mill Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Broadwater Lake (Farncombe),4,4,6,6,5,5,4,4,4,4,4,4,6,6,5,5,4,4,4,4,Aug,5.0,5
Brocket Park,1,1,2,2,3,3,(0),(0),14,14,1,1,2,2,3,3,(0),(0),14,14,Nov,5.0,5
Cainhoe Lakes,nan,nan,nan,nan,nan,nan,4,4,4,4,nan,nan,nan,nan,nan,nan,4,4,4,4,Jul,4.0,5
Cally Lake,2,2,2,2,2,2,3,3,nan,nan,2,2,2,2,2,2,3,3,nan,nan,nan,2.0,5
Camilla Loch Auchtertool,2,2,nan,nan,nan,nan,nan,nan,nan,nan,2,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,5
Canal Linlithgow to Philpstoun,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Carlingford Lough,6,6,5,5,9,9,16,16,37,37,6,6,5,5,9,9,16,16,37,37,Oct,15.0,5
Central Pond (Wandsworth Common),2,2,nan,nan,nan,nan,4,4,nan,nan,2,2,nan,nan,nan,nan,4,4,nan,nan,nan,3.0,5
Chalton Sewage Treatment Works,2,2,nan,nan,nan,nan,nan,nan,nan,nan,2,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,5
Chinnor Quarry,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Cobbinshaw Reservoir,(0),(0),2,2,3,3,4,4,2,2,(0),(0),2,2,3,3,4,4,2,2,Sep,3.0,5
Connaught Water (Epping Forest),5,5,4,4,3,3,1,1,4,4,5,5,4,4,3,3,1,1,4,4,Feb,3.0,5
Cotesbach Landfill Tip and A5 Lagoons,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Crime Lake,nan,nan,nan,nan,4,4,5,5,4,4,nan,nan,nan,nan,4,4,5,5,4,4,Sep,4.0,5
Cromlix Lochs and Pond,5,5,(7),(7),(9),(9),4,4,3,3,5,5,(7),(7),(9),(9),4,4,3,3,Sep,6.0,5
Cruden Bay Brickworks,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Culford Lake,6,6,4,4,nan,nan,nan,nan,nan,nan,6,6,4,4,nan,nan,nan,nan,nan,nan,nan,5.0,5
Cuttmill Ponds,4,4,5,5,6,6,2,2,2,2,4,4,5,5,6,6,2,2,2,2,Oct,4.0,5
Delph Pond (Tullibody),3,3,6,6,6,6,6,6,7,7,3,3,6,6,6,6,6,6,7,7,Sep,6.0,5
Devonmouth Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Dogmersfield Lake,12,12,32,32,31.0,31.0,13.0,13.0,17.0,17.0,12,12,32,32,31.0,31.0,13.0,13.0,17.0,17.0,Mar,21.0,5
Drumbowie Reservoir,3,3,2,2,2.0,2.0,4.0,4.0,1.0,1.0,3,3,2,2,2.0,2.0,4.0,4.0,1.0,1.0,Jan,2.0,5
Druridge Pool,nan,nan,nan,nan,13.0,13.0,8.0,8.0,7.0,7.0,nan,nan,nan,nan,13.0,13.0,8.0,8.0,7.0,7.0,Jun,9.0,5
Dunlop Semtex Pond,0,0,nan,nan,0.0,0.0,nan,nan,nan,nan,0,0,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,0.0,5
Duns Castle Pond,8,8,9,9,4.0,4.0,8.0,8.0,2.0,2.0,8,8,9,9,4.0,4.0,8.0,8.0,2.0,2.0,Sep,6.0,5
East Fortune Ponds,7,7,4,4,2.0,2.0,nan,nan,nan,nan,7,7,4,4,2.0,2.0,nan,nan,nan,nan,nan,4.0,5
"Eastville Park, Bristol",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Ellerton Mill Pools,2,2,5,5,9.0,9.0,10.0,10.0,0.0,0.0,2,2,5,5,9.0,9.0,10.0,10.0,0.0,0.0,nan,5.0,5
Elmore Marsh,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Enton Ponds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Fagl Lake (Hope),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Fairlands Valley Park,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,0.0,5
Farmwood Pool,2,2,2,2,3.0,3.0,2.0,2.0,2.0,2.0,2,2,2,2,3.0,3.0,2.0,2.0,2.0,2.0,May,2.0,5
Fazeley Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Firs Park,7,7,2,2,5.0,5.0,7.0,7.0,4.0,4.0,7,7,2,2,5.0,5.0,7.0,7.0,4.0,4.0,Sep,5.0,5
Fletton Brick Pits,16,16,26,26,32.0,32.0,18.0,18.0,16.0,16.0,16,16,26,26,32.0,32.0,18.0,18.0,16.0,16.0,Sep,22.0,5
Foremark Reservoir,9,9,8,8,12.0,12.0,10.0,10.0,13.0,13.0,9,9,8,8,12.0,12.0,10.0,10.0,13.0,13.0,Sep,10.0,5
Forth and Clyde Canal - Maryhill Locks to Great Western Rd,7,7,10,10,6.0,6.0,11.0,11.0,5.0,5.0,7,7,10,10,6.0,6.0,11.0,11.0,5.0,5.0,Mar,8.0,5
Forth and Clyde Canal - Underwood to Bonnybridge,(6),(6),nan,nan,nan,nan,nan,nan,nan,nan,(6),(6),nan,nan,nan,nan,nan,nan,nan,nan,nan,6.0,5
Frankfield Loch,2,2,2,2,2.0,2.0,4.0,4.0,5.0,5.0,2,2,2,2,2.0,2.0,4.0,4.0,5.0,5.0,Mar,3.0,5
Frolesworth Manor Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Glenfarg Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Green Moor Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Hanmer Mere,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Heaton Park,nan,nan,nan,nan,nan,nan,2.0,2.0,3.0,3.0,nan,nan,nan,nan,nan,nan,2.0,2.0,3.0,3.0,Feb,3.0,5
Hemingford Grey GP,6,6,2,2,4.0,4.0,1.0,1.0,5.0,5.0,6,6,2,2,4.0,4.0,1.0,1.0,5.0,5.0,Feb,4.0,5
Heron Lough 2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
High Fairbanks,6,6,(9),(9),2.0,2.0,2.0,2.0,4.0,4.0,6,6,(9),(9),2.0,2.0,2.0,2.0,4.0,4.0,Jul,5.0,5
Hornsey Reservoir (Wood Green),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Howick Burn Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Keir Loch,4,4,6,6,6.0,6.0,6,6,3.0,3.0,4,4,6,6,6.0,6.0,6,6,3.0,3.0,Oct,5.0,5
Kennet and Avon Canal - Bradford On Avon to Avoncliff,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Kennet and Avon Canal - Semington Bridge to Seend Park Farm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Kilbirnie Loch Beith,1,1,nan,nan,9.0,9.0,9,9,7.0,7.0,1,1,nan,nan,9.0,9.0,9,9,7.0,7.0,Aug,7.0,5
Kilnaughton Bay Port Ellen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Kilsyth Curling Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Kiltonga Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Knotford Nook Gravel Pits,(2),(2),(2),(2),2.0,2.0,2,2,4.0,4.0,(2),(2),(2),(2),2.0,2.0,2,2,4.0,4.0,Jun,3.0,5
Leighfield Fishponds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Lenwade GP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Lilymere,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Lindean Reservoir,2,2,5,5,2.0,2.0,14,14,2.0,2.0,2,2,5,5,2.0,2.0,14,14,2.0,2.0,Feb,5.0,5
Linkswood Sandpit Pond,4,4,4,4,2.0,2.0,3,3,2.0,2.0,4,4,4,4,2.0,2.0,3,3,2.0,2.0,Jan,3.0,5
Little Denny Reservoir,2,2,1,1,4.0,4.0,2,2,18.0,18.0,2,2,1,1,4.0,4.0,2,2,18.0,18.0,Oct,5.0,5
Little Ouse - Thetford,19,19,nan,nan,nan,nan,nan,nan,nan,nan,19,19,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.0,6
Llanishen and Lisvane Reservoirs,7,7,6,6,6.0,6.0,4,4,4.0,4.0,7,7,6,6,6.0,6.0,4,4,4.0,4.0,Jul,5.0,5
Llyn Bodgylched,(3),(3),(2),(2),0.0,0.0,(1),(1),2.0,2.0,(3),(3),(2),(2),0.0,0.0,(1),(1),2.0,2.0,Jan,2.0,5
Llyn Heilyn,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Llyn Helyg,8,8,4,4,2.0,2.0,2,2,5.0,5.0,8,8,4,4,2.0,2.0,2,2,5.0,5.0,Sep,4.0,5
Loch Gearach,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Loch Heilen,17,17,10,10,nan,nan,nan,nan,nan,nan,17,17,10,10,nan,nan,nan,nan,nan,nan,nan,14.0,5
Loch Sandary (North Uist),nan,nan,3,3,2.0,2.0,2,2,4.0,4.0,nan,nan,3,3,2.0,2.0,2,2,4.0,4.0,Oct,3.0,5
Loch Tay,1,1,0,0,0.0,0.0,0,0,0.0,0.0,1,1,0,0,0.0,0.0,0,0,0.0,0.0,nan,0.0,5
Loch of Aboyne,6,6,2,2,4.0,4.0,7,7,6.0,6.0,6,6,2,2,4.0,4.0,7,7,6.0,6.0,Jul,5.0,5
Loch of Balloch,1,1,8,8,4.0,4.0,3,3,2.0,2.0,1,1,8,8,4.0,4.0,3,3,2.0,2.0,Feb,4.0,5
Loch of Hundland,0,0,4,4,2.0,2.0,6,6,2.0,2.0,0,0,4,4,2.0,2.0,6,6,2.0,2.0,Oct,3.0,5
Loch of Mey,(0),(0),(0),(0),1.0,1.0,nan,nan,9.0,9.0,(0),(0),(0),(0),1.0,1.0,nan,nan,9.0,9.0,Nov,5.0,5
Longlands Lake,nan,nan,nan,nan,nan,nan,nan,nan,3.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,3.0,3.0,Feb,3.0,5
Longmoor Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Machine Pond,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,5
Maer Lake,0.0,0.0,0.0,0.0,0,0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,2.0,2.0,1.0,1.0,Mar,1.0,5
Marbury Meres,0.0,0.0,3.0,3.0,0,0,2.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,0,0,2.0,2.0,2.0,2.0,Jul,1.0,5
Marden Quarry,nan,nan,nan,nan,4,4,6.0,6.0,2.0,2.0,nan,nan,nan,nan,4,4,6.0,6.0,2.0,2.0,Oct,4.0,5
McAuley's Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Millhall Reservoir,4.0,4.0,3.0,3.0,3,3,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3,3,2.0,2.0,2.0,2.0,Sep,3.0,5
Milton Pools,2.0,2.0,2.0,2.0,2,2,nan,nan,nan,nan,2.0,2.0,2.0,2.0,2,2,nan,nan,nan,nan,nan,2.0,5
Mochrum Loch Maybole,3.0,3.0,3.0,3.0,2,2,2.0,2.0,nan,nan,3.0,3.0,3.0,3.0,2,2,2.0,2.0,nan,nan,nan,3.0,5
Monks Pit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Moorgreen Reservoir,12.0,12.0,11.0,11.0,nan,nan,nan,nan,nan,nan,12.0,12.0,11.0,11.0,nan,nan,nan,nan,nan,nan,nan,12.0,5
Moorthwaite Lough,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Mossend Pond,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,nan,0.0,5
Mount Stewart Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Mugdrum House Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
New Cut (Palmarsh),5.0,5.0,10.0,10.0,6,6,10.0,10.0,4.0,4.0,5.0,5.0,10.0,10.0,6,6,10.0,10.0,4.0,4.0,May,7.0,5
New Cut Hilgay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Oak Road Fishing Pond - Hull,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Orchardleigh Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Otterhead,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Par Sands,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Parsons Meadow,5.0,5.0,nan,nan,3,3,9.0,9.0,5.0,5.0,5.0,5.0,nan,nan,3,3,9.0,9.0,5.0,5.0,Sep,6.0,5
Peatmoor Lagoon,8.0,8.0,8.0,8.0,3,3,3.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,3,3,3.0,3.0,8.0,8.0,May,6.0,5
Penicuik Estate Ponds and Part of River Esk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Plym Estuary,nan,nan,2.0,2.0,(2),(2),0.0,0.0,1.0,1.0,nan,nan,2.0,2.0,(2),(2),0.0,0.0,1.0,1.0,Sep,1.0,5
Portway Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Priorslee Flash,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Priorslee Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Quest Clay Pit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
R.Bervie: Bervie Bay to Upper Mill,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Rae Loch,3.0,3.0,3.0,3.0,2,2,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2,2,4.0,4.0,2.0,2.0,Jul,3.0,5
Ribble Valley at Long Preston,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
River Don - Dyce Weir to Sewage Works,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
River Eden - Newby to Scotby,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
River Lune - Whittington to Kirkby Lonsdale,4.0,4.0,2,2,2.0,2.0,1.0,1.0,0.0,0.0,4.0,4.0,2,2,2.0,2.0,1.0,1.0,0.0,0.0,nan,2.0,5
River Thames - Putney to Barnes,6.0,6.0,(2),(2),2.0,2.0,10.0,10.0,10.0,10.0,6.0,6.0,(2),(2),2.0,2.0,10.0,10.0,10.0,10.0,Sep,7.0,5
River Thames at Staines Bridge,nan,nan,nan,nan,nan,nan,nan,nan,186.0,186.0,nan,nan,nan,nan,nan,nan,nan,nan,186.0,186.0,Mar,186.0,5
Rodley and Wilmer Common,1.0,1.0,0,0,7.0,7.0,5.0,5.0,4.0,4.0,1.0,1.0,0,0,7.0,7.0,5.0,5.0,4.0,4.0,Nov,3.0,5
Rothley Lakes,nan,nan,nan,nan,nan,nan,9.0,9.0,14.0,14.0,nan,nan,nan,nan,nan,nan,9.0,9.0,14.0,14.0,Oct,12.0,5
Runcorn Sands and Astmoor Saltmarsh,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Rydal Water,4.0,4.0,(3),(3),4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,(3),(3),4.0,4.0,3.0,3.0,4.0,4.0,Jul,4.0,5
Salhouse Broad,5.0,5.0,4,4,4.0,4.0,2.0,2.0,2.0,2.0,5.0,5.0,4,4,4.0,4.0,2.0,2.0,2.0,2.0,Sep,3.0,5
Scorton Country Park Lake,7.0,7.0,2,2,2.0,2.0,nan,nan,nan,nan,7.0,7.0,2,2,2.0,2.0,nan,nan,nan,nan,nan,4.0,5
Scoughall Pond and Claypit Pond,14.0,14.0,(5),(5),6.0,6.0,7.0,7.0,9.0,9.0,14.0,14.0,(5),(5),6.0,6.0,7.0,7.0,9.0,9.0,Aug,9.0,5
Shrewsbury Sewage Treatment Works,7.0,7.0,22,22,7.0,7.0,11.0,11.0,5.0,5.0,7.0,7.0,22,22,7.0,7.0,11.0,11.0,5.0,5.0,Oct,10.0,5
Shustoke Reservoirs,6.0,6.0,1,1,nan,nan,nan,nan,nan,nan,6.0,6.0,1,1,nan,nan,nan,nan,nan,nan,nan,4.0,5
Southwater Country Park,3.0,3.0,3,3,6.0,6.0,6.0,6.0,2.0,2.0,3.0,3.0,3,3,6.0,6.0,6.0,6.0,2.0,2.0,Sep,4.0,5
Stare Dam Rohallion Loch and Robin's Dam,6.0,6.0,4,4,nan,nan,nan,nan,5.0,5.0,6.0,6.0,4,4,nan,nan,nan,nan,5.0,5.0,Sep,5.0,5
Stoke Water Meadows,2.0,2.0,nan,nan,5.0,5.0,4.0,4.0,6.0,6.0,2.0,2.0,nan,nan,5.0,5.0,4.0,4.0,6.0,6.0,Jun,4.0,5
Stony Stratford Nature Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Stover Park,2.0,2.0,2,2,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2,2,2.0,2.0,4.0,4.0,4.0,4.0,Nov,3.0,5
Tatton and Melchett Meres,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Tilgate Lake and Gossops Green Ponds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Twechar Marsh,2.0,2.0,5,5,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,5,5,2.0,2.0,3.0,3.0,1.0,1.0,Feb,3.0,5
Ty Mawr Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Ulpha Meadows,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Upper Swell Pools,7.0,7.0,5,5,3.0,3.0,6.0,6.0,10.0,10.0,7.0,7.0,5,5,3.0,3.0,6.0,6.0,10.0,10.0,Oct,6.0,5
Upton Great and Little Broads,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Waddon Ponds,2.0,2.0,2,2,2.0,2.0,nan,nan,nan,nan,2.0,2.0,2,2,2.0,2.0,nan,nan,nan,nan,nan,2.0,5
Warkworth Lane Ponds,nan,nan,nan,nan,62.0,62.0,18.0,18.0,30.0,30.0,nan,nan,nan,nan,62.0,62.0,18.0,18.0,30.0,30.0,Nov,37.0,5
"Watchtree NR, Great Orton",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Weirwood Reservoir,(4),(4),(11),(11),11.0,11.0,1.0,1.0,1.0,1.0,(4),(4),(11),(11),11.0,11.0,1.0,1.0,1.0,1.0,Jan,6.0,5
Wester Cambushinnie Pond,nan,nan,2,2,0.0,0.0,0.0,0.0,2.0,2.0,nan,nan,2,2,0.0,0.0,0.0,0.0,2.0,2.0,Oct,1.0,5
Wester Rottearns Mill Pond,6,6,5,5,2.0,2.0,21.0,21.0,0.0,0.0,6,6,5,5,2.0,2.0,21.0,21.0,0.0,0.0,nan,7.0,5
Whiteadder Reservoir,3,3,4,4,nan,nan,2.0,2.0,10.0,10.0,3,3,4,4,nan,nan,2.0,2.0,10.0,10.0,Oct,5.0,5
Wichelstowe Lakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
Wimpole Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
