Site,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,1936,1937,1938,RoughTimeAccessed
Loch of Strathbeg,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[193, 1, 'Feb', 0, None, None]","[55, 1, 'Dec', 0, None, None]","[125, 1, 'Jan', 0, None, None]","[61, 1, 'Nov', 0, None, None]","[217, 1, 'Nov', 0, None, None]","[518, 1, 'Dec', 0, None, None]","[360, 1, 'Nov', 0, None, None]","[400, 1, 'Nov', 0, None, None]","[170, 1, 'Jan', 0, None, None]","[370, 1, 'Nov', 0, None, None]","[150, 1, 'Nov', 0, None, None]","[350, 1, 'Nov', 0, None, None]","[400, 1, 'Dec', 0, None, None]","[320, 1, 'Dec', 0, None, None]","[200, 1, 'Nov', 0, None, None]","[160, 1, 'Mar', 0, None, None]","[360, 1, 'Nov', 0, None, None]","[265, 1, 'Nov', 0, None, None]","[195, 1, 'Dec', 0, None, None]","[150, 1, 'Nov', 0, None, None]","[195, 1, 'Nov', 0, None, None]","[67, 1, 'Nov', 0, None, None]","[68, 1, 'Oct', 0, None, None]","[249, 1, 'Nov', 0, None, None]","[170, 1, 'Feb', 0, None, None]","[338, 1, 'Oct', 0, None, None]","[67, 1, 'Dec', 0, None, None]","[74, 1, 'Aug', 0, None, None]","[44, 1, 'Apr', 0, None, None]","[109, 2, 'Mar', 0, None, None]","[185, 1, 'Apr', 0, None, None]","[204, 1, 'Oct', 0, None, None]","[166, 1, 'Mar', 0, None, None]","[101, 1, 'Apr', 0, None, None]","[99, 1, 'Dec', 0, None, None]","[192, 1, 'Apr', 0, None, None]","[126, 2, 'Jan', 0, None, None]","[294, 1, 'Nov', 0, None, None]","[86, 1, 'Aug', 0, None, None]","[202, 1, 'Sep', 0, None, None]","[334, 1, 'Dec', 0, None, None]","[146, 1, 'Aug', 0, None, None]","[159, 1, 'Mar', 0, None, None]","[217, 1, 'Feb', 0, None, None]","[244, 1, 'Nov', 0, None, None]","[177, 1, 'Dec', 0, None, None]","[257, 1, 'Mar', 0, None, None]","[162, 1, 'Nov', 0, None, None]","[158, 1, 'Mar', 0, None, None]","[278, 1, 'Nov', 0, None, None]","[129, 1, 'Nov', 0, None, None]","[161, 1, 'Dec', 0, None, None]",nan,nan,nan,2019-12-06 11:56:02
Grafham Water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[20, 1, 'Jan', 0, None, None]","[47, 1, 'Feb', 0, None, None]","[27, 1, 'Mar', 0, None, None]","[77, 1, 'Feb', 0, None, None]","[117, 1, 'Mar', 0, None, None]","[98, 1, 'Jan', 0, None, None]","[110, 1, 'Mar', 0, None, None]","[110, 1, 'Jan', 0, None, None]","[145, 1, 'Feb', 0, None, None]","[180, 1, 'Mar', 0, None, None]","[70, 1, 'Feb', 0, None, None]","[165, 1, 'Mar', 0, None, None]","[97, 1, 'Mar', 0, None, None]","[132, 1, 'Feb', 0, None, None]","[112, 1, 'Feb', 0, None, None]","[127, 1, 'Feb', 0, None, None]","[60, 1, 'Jan', 0, None, None]","[66, 1, 'Nov', 0, None, None]","[98, 1, 'Feb', 0, None, None]","[36, 1, 'Dec', 0, None, None]","[62, 1, 'Jan', 0, None, None]","[41, 1, 'Feb', 0, None, None]","[52, 1, 'Feb', 0, None, None]","[18, 1, 'Feb', 0, None, None]","[47, 1, 'Feb', 0, None, None]","[17, 1, 'Dec', 0, None, None]","[29, 1, 'Dec', 0, None, None]","[30, 1, 'Jan', 0, None, None]","[29, 1, 'Dec', 0, None, None]","[13, 1, 'Nov', 0, None, None]","[16, 1, 'Feb', 0, None, None]","[11, 1, 'Nov', 0, None, None]","[26, 1, 'Feb', 0, None, None]","[43, 1, 'Jan', 0, None, None]","[22, 1, 'Feb', 0, None, None]","[68, 1, 'Dec', 0, None, None]","[82, 1, 'Feb', 0, None, None]","[94, 1, 'Dec', 0, None, None]","[110, 1, 'Nov', 0, None, None]","[91, 1, 'Mar', 0, None, None]","[57, 1, 'Feb', 0, None, None]","[140, 1, 'Jan', 0, None, None]","[96, 1, 'Dec', 0, None, None]","[102, 1, 'Jan', 0, None, None]","[220, 1, 'Dec', 0, None, None]","[133, 1, 'Jan', 0, None, None]","[214, 1, 'Dec', 0, None, None]","[206, 1, 'Jan', 0, None, None]","[109, 1, 'Jan', 0, None, None]","[160, 1, 'Dec', 0, None, None]","[148, 1, 'Dec', 0, None, None]","[209, 1, 'Feb', 0, None, None]",nan,nan,nan,2019-12-06 11:56:02
Inner Firth of Clyde,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[16, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,"[372, 1, 'Jan', 0, None, None]","[27, 1, 'Jan', 0, None, None]","[263, 1, 'Jan', 0, None, None]","[378, 1, 'Feb', 0, None, None]","[221, 1, 'Feb', 0, None, None]",nan,"[157, 1, 'Feb', 0, None, None]","[304, 1, 'Jan', 0, None, None]","[349, 1, 'Jan', 0, None, None]","[535, 1, 'Mar', 0, None, None]","[405, 1, 'Mar', 0, None, None]","[418, 1, 'Mar', 0, None, None]","[359, 1, 'Feb', 0, None, None]","[706, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[580, 1, 'Mar', 0, None, None]","[607, 1, 'Mar', 0, None, None]","[413, 2, 'Feb', 0, None, None]","[609, 1, 'Jan', 0, None, None]","[541, 1, 'Feb', 0, None, None]","[575, 1, 'Mar', 0, None, None]","[511, 1, 'Jan', 0, None, None]","[439, 1, 'Jan', 0, None, None]","[584, 1, 'Feb', 0, None, None]","[562, 1, 'Dec', 0, None, None]","[509, 2, 'Dec', 0, None, None]","[496, 1, 'Feb', 0, None, None]","[858, 1, 'Mar', 0, None, None]","[468, 1, 'Jan', 0, None, None]","[321, 1, 'Jan', 0, None, None]","[264, 2, 'Mar', 0, None, None]","[514, 1, 'Mar', 0, None, None]","[159, 1, 'Apr', 0, None, None]","[636, 1, 'Feb', 0, None, None]","[688, 1, 'Feb', 0, None, None]","[609, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[215, 2, 'Feb', 0, None, None]","[270, 1, 'Feb', 0, None, None]","[227, 1, 'Feb', 0, None, None]","[235, 1, 'Mar', 0, None, None]","[204, 1, 'Dec', 0, None, None]","[221, 1, 'Feb', 0, None, None]","[157, 1, 'Jan', 0, None, None]","[145, 1, 'Feb', 0, None, None]","[112, 1, 'Mar', 0, None, None]","[160, 1, 'Feb', 0, None, None]",nan,nan,nan,2019-12-06 11:56:02
Lindores Loch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[40, 1, 'Feb', 0, None, None]","[20, 1, 'Jan', 0, None, None]",nan,"[20, 1, 'Jan', 0, None, None]","[3, 1, 'Feb', 0, None, None]",nan,"[20, 1, 'Jan', 0, None, None]","[13, 1, 'Nov', 0, None, None]","[15, 1, 'Dec', 0, None, None]","[8, 1, 'Nov', 0, None, None]","[16, 1, 'Mar', 0, None, None]","[27, 1, 'Mar', 0, None, None]","[28, 1, 'Nov', 0, None, None]","[41, 1, 'Dec', 0, None, None]","[50, 1, 'Feb', 0, None, None]","[84, 1, 'Feb', 0, None, None]","[53, 1, 'Nov', 0, None, None]","[24, 1, 'Nov', 0, None, None]","[48, 1, 'Nov', 0, None, None]","[69, 1, 'Dec', 0, None, None]","[50, 1, 'Dec', 0, None, None]","[55, 1, 'Dec', 0, None, None]","[66, 1, 'Jan', 0, None, None]","[60, 1, 'Feb', 0, None, None]","[77, 1, 'Mar', 0, None, None]","[64, 1, 'Mar', 0, None, None]","[32, 1, 'Mar', 0, None, None]","[30, 1, 'Nov', 0, None, None]","[17, 1, 'Jan', 0, None, None]","[23, 1, 'Apr', 0, None, None]","[29, 1, 'Feb', 0, None, None]","[18, 1, 'Oct', 0, None, None]","[34, 1, 'Mar', 0, None, None]","[50, 1, 'Nov', 0, None, None]","[80, 1, 'Feb', 0, None, None]","[191, 1, 'Dec', 0, None, None]","[45, 1, 'Dec', 0, None, None]","[56, 1, 'Feb', 0, None, None]","[74, 1, 'Feb', 0, None, None]","[37, 1, 'Apr', 0, None, None]","[57, 1, 'Feb', 0, None, None]","[55, 1, 'Apr', 0, None, None]","[114, 1, 'Dec', 0, None, None]","[74, 1, 'Nov', 0, None, None]","[115, 1, 'Nov', 0, None, None]","[115, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[190, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[201, 1, 'Jan', 0, None, None]","[130, 1, 'Nov', 0, None, None]","[155, 1, 'Mar', 0, None, None]","[96, 1, 'Mar', 0, None, None]","[215, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,2019-12-06 11:56:02
Lake of Menteith,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[10, 1, 'Jan', 0, None, None]","[34, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[46, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[43, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[36, 1, 'Mar', 0, None, None]","[17, 1, 'Jan', 0, None, None]","[7, 1, 'Jan', 0, None, None]","[37, 1, 'Mar', 0, None, None]","[44, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[49, 1, 'Mar', 0, None, None]","[49, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[37, 1, 'Jan', 0, None, None]","[34, 1, 'Mar', 0, None, None]","[55, 1, 'Mar', 0, None, None]",nan,"[0, 2, '', 0, None, None]","[52, 2, 'Mar', 0, None, None]","[64, 1, 'Mar', 0, None, None]","[60, 1, 'Jan', 0, None, None]","[90, 1, 'Mar', 0, None, None]","[71, 1, 'Feb', 0, None, None]","[46, 1, 'Jan', 0, None, None]","[65, 1, 'Feb', 0, None, None]","[107, 1, 'Nov', 0, None, None]","[56, 1, 'Mar', 0, None, None]","[184, 1, 'Mar', 0, None, None]","[248, 1, 'Dec', 0, None, None]","[171, 1, 'Nov', 0, None, None]","[101, 1, 'Mar', 0, None, None]","[124, 1, 'Mar', 0, None, None]","[165, 1, 'Feb', 0, None, None]","[99, 1, 'Nov', 0, None, None]","[112, 1, 'Feb', 0, None, None]","[104, 1, 'Dec', 0, None, None]","[133, 1, 'Mar', 0, None, None]","[168, 1, 'Dec', 0, None, None]","[189, 1, 'Nov', 0, None, None]","[152, 1, 'Mar', 0, None, None]","[129, 1, 'Jan', 0, None, None]","[117, 1, 'Mar', 0, None, None]",nan,nan,nan,2019-12-06 11:56:02
River Eden - Grinsdale to Sandsfield,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[122, 1, 'Feb', 0, None, None]","[75, 1, 'Nov', 0, None, None]","[111, 1, 'Dec', 0, None, None]","[91, 1, 'Jan', 0, None, None]","[131, 1, 'Feb', 0, None, None]","[221, 1, 'Dec', 0, None, None]","[94, 1, 'Dec', 0, None, None]","[145, 2, 'Dec', 0, None, None]","[173, 1, 'Dec', 0, None, None]","[145, 1, 'Jan', 0, None, None]","[82, 2, 'Nov', 0, None, None]","[159, 1, 'Dec', 0, None, None]","[122, 1, 'Dec', 0, None, None]",nan,nan,nan,2019-12-06 11:56:02
Stour Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[50, 1, 'Feb', 0, None, None]","[75, 1, 'Feb', 0, None, None]","[60, 1, 'Feb', 0, None, None]","[155, 1, 'Jan', 0, None, None]","[41, 1, 'Feb', 0, None, None]","[34, 1, 'Jan', 0, None, None]","[35, 1, 'Feb', 0, None, None]","[46, 1, 'Mar', 0, None, None]","[100, 1, 'Dec', 0, None, None]","[72, 1, 'Feb', 0, None, None]","[84, 1, 'Jan', 0, None, None]","[152, 1, 'Feb', 0, None, None]","[177, 1, 'Feb', 0, None, None]","[67, 1, 'Jan', 0, None, None]","[73, 1, 'Dec', 0, None, None]","[160, 1, 'Feb', 0, None, None]","[141, 1, 'Feb', 0, None, None]","[74, 1, 'Mar', 0, None, None]","[51, 1, 'Feb', 0, None, None]","[42, 1, 'Feb', 0, None, None]","[40, 1, 'Mar', 0, None, None]","[132, 1, 'Feb', 0, None, None]","[48, 1, 'Jan', 0, None, None]","[61, 2, 'Feb', 0, None, None]","[201, 1, 'Feb', 0, None, None]","[149, 1, 'Feb', 0, None, None]","[95, 1, 'Mar', 0, None, None]","[201, 1, 'Jan', 0, None, None]","[98, 1, 'Feb', 0, None, None]","[132, 1, 'Feb', 0, None, None]","[191, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[139, 1, 'Feb', 0, None, None]","[154, 1, 'Dec', 0, None, None]","[146, 1, 'Dec', 0, None, None]","[291, 1, 'Jan', 0, None, None]","[205, 1, 'Dec', 0, None, None]","[573, 1, 'Jan', 0, None, None]","[262, 1, 'Jan', 0, None, None]","[201, 1, 'Dec', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[227, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[146, 1, 'Feb', 0, None, None]","[142, 1, 'Nov', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[233, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[166, 1, 'Jan', 0, None, None]","[189, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[257, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[130, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[212, 1, 'Dec', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[179, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[148, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[120, 1, 'Jan', 0, None, None]","[87, 1, 'Dec', 0, None, None]",nan,nan,nan,2019-12-06 11:56:02
Inner Moray and Beauly Firths,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Nov', 0, None, None]","[29, 1, 'Dec', 0, None, None]","[103, 1, 'Jan', 0, None, None]","[134, 1, 'Jan', 0, None, None]","[319, 1, 'Jan', 0, None, None]","[245, 1, 'Nov', 0, None, None]","[590, 1, 'Jan', 0, None, None]","[359, 1, 'Feb', 0, None, None]","[202, 1, 'Mar', 0, None, None]","[719, 1, 'Nov', 0, None, None]","[307, 1, 'Nov', 0, None, None]","[452, 1, 'Jan', 0, None, None]","[268, 1, 'Nov', 0, None, None]","[399, 1, 'Mar', 0, None, None]","[638, 1, 'Dec', 0, None, None]","[379, 1, 'Mar', 0, None, None]","[280, 1, 'Mar', 0, None, None]","[232, 1, 'Dec', 0, None, None]","[34, 1, 'Dec', 0, None, None]","[491, 1, 'Jan', 0, None, None]","[449, 1, 'Feb', 0, None, None]","[501, 1, 'Jan', 0, None, None]","[647, 1, 'Feb', 0, None, None]","[611, 1, 'Feb', 0, None, None]","[671, 1, 'Feb', 0, None, None]","[363, 1, 'Feb', 0, None, None]","[817, 1, 'Feb', 0, None, None]","[399, 1, 'Feb', 0, None, None]","[582, 1, 'Dec', 0, None, None]","[579, 2, 'Feb', 0, None, None]","[921, 1, 'Jan', 0, None, None]","[882, 1, 'Jan', 0, None, None]","[899, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[894, 1, 'Dec', 0, None, None]","[1141, 1, 'Jan', 0, None, None]","[993, 1, 'Dec', 0, None, None]","[1291, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[899, 1, 'Jan', 1, 'RSPB Moray Firth counts', 'RSPB']","[1239, 1, 'Jan', 1, 'RSPB Moray Firth counts', 'RSPB']","[261, 1, 'Jan', 1, 'RSPB Moray Firth counts', 'RSPB']","[221, 1, 'Feb', 0, None, None]","[137, 1, 'Jan', 0, None, None]","[92, 1, 'Dec', 0, None, None]","[130, 1, 'Feb', 0, None, None]","[143, 1, 'Feb', 0, None, None]","[156, 1, 'Dec', 0, None, None]","[103, 1, 'Jan', 0, None, None]","[95, 1, 'Jan', 0, None, None]","[91, 1, 'Jan', 0, None, None]","[155, 1, 'Dec', 0, None, None]","[123, 1, 'Jan', 0, None, None]","[212, 1, 'Feb', 0, None, None]",nan,nan,nan,2019-12-06 11:56:02
Tweed Estuary,nan,nan,nan,"[4, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[40, 1, 'Jan', 0, None, None]","[280, 1, 'Mar', 0, None, None]","[220, 1, 'Feb', 0, None, None]","[270, 1, 'Feb', 0, None, None]","[350, 1, 'Jan', 0, None, None]",nan,"[235, 1, 'Jan', 0, None, None]","[200, 1, 'Apr', 0, None, None]","[170, 1, 'Feb', 0, None, None]","[203, 1, 'Mar', 0, None, None]","[207, 1, 'Jan', 0, None, None]","[200, 1, 'Feb', 0, None, None]","[120, 1, 'Feb', 0, None, None]","[462, 1, 'Dec', 0, None, None]","[126, 1, 'Jan', 0, None, None]","[303, 1, 'Jan', 0, None, None]","[375, 1, 'Mar', 0, None, None]","[287, 1, 'Jan', 0, None, None]","[340, 1, 'Dec', 0, None, None]","[290, 1, 'Feb', 0, None, None]","[408, 1, 'Nov', 0, None, None]","[360, 1, 'Mar', 0, None, None]","[351, 1, 'Jan', 0, None, None]","[590, 1, 'Feb', 0, None, None]","[329, 1, 'Feb', 0, None, None]","[540, 1, 'Feb', 0, None, None]","[498, 1, 'Feb', 0, None, None]","[617, 1, 'Jan', 0, None, None]","[804, 1, 'Jan', 0, None, None]","[570, 1, 'Jan', 0, None, None]","[585, 1, 'Jan', 0, None, None]","[302, 1, 'Dec', 0, None, None]","[151, 1, 'Dec', 0, None, None]","[312, 1, 'Mar', 0, None, None]","[240, 1, 'Jan', 0, None, None]","[390, 1, 'Feb', 0, None, None]","[273, 1, 'Jan', 0, None, None]","[140, 1, 'Mar', 0, None, None]","[174, 1, 'Dec', 0, None, None]","[246, 1, 'Feb', 0, None, None]","[245, 1, 'Jan', 0, None, None]","[182, 1, 'Feb', 0, None, None]","[306, 1, 'Mar', 0, None, None]","[164, 1, 'Mar', 0, None, None]","[267, 1, 'Mar', 0, None, None]","[206, 1, 'Feb', 0, None, None]","[130, 1, 'Feb', 0, None, None]","[132, 2, 'Jan', 0, None, None]","[72, 1, 'Dec', 0, None, None]","[108, 1, 'Feb', 0, None, None]",nan,nan,nan,2019-12-06 11:56:02
Loch of Harray,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[50, 1, 'Mar', 0, None, None]","[42, 1, 'Feb', 0, None, None]","[26, 1, 'Jan', 0, None, None]","[36, 1, 'Mar', 0, None, None]","[58, 1, 'Mar', 0, None, None]","[78, 1, 'Feb', 0, None, None]","[85, 1, 'Mar', 0, None, None]","[125, 1, 'Dec', 0, None, None]","[126, 1, 'Mar', 0, None, None]","[97, 1, 'Nov', 0, None, None]","[90, 1, 'Dec', 0, None, None]","[75, 1, 'Feb', 0, None, None]","[47, 1, 'Jan', 0, None, None]","[71, 1, 'Feb', 0, None, None]","[135, 1, 'Mar', 0, None, None]","[134, 1, 'Mar', 0, None, None]","[172, 1, 'Feb', 0, None, None]","[96, 1, 'Jan', 0, None, None]","[104, 1, 'Dec', 0, None, None]","[72, 1, 'Feb', 0, None, None]","[100, 1, 'Dec', 0, None, None]","[131, 1, 'Mar', 0, None, None]","[201, 1, 'Feb', 0, None, None]","[137, 1, 'Feb', 0, None, None]","[92, 1, 'Oct', 0, None, None]","[206, 1, 'Mar', 0, None, None]","[194, 1, 'Feb', 0, None, None]","[201, 1, 'Dec', 0, None, None]","[156, 1, 'Feb', 0, None, None]","[89, 1, 'Mar', 0, None, None]","[69, 1, 'Mar', 0, None, None]","[148, 1, 'Mar', 0, None, None]","[143, 1, 'Dec', 0, None, None]","[95, 2, 'Mar', 0, None, None]","[132, 1, 'Jan', 0, None, None]","[62, 1, 'Mar', 0, None, None]","[53, 1, 'Mar', 0, None, None]","[89, 1, 'Feb', 0, None, None]","[85, 1, 'Mar', 0, None, None]","[60, 1, 'Mar', 0, None, None]","[48, 1, 'Jan', 0, None, None]","[102, 1, 'Feb', 0, None, None]","[86, 1, 'Mar', 0, None, None]","[124, 1, 'Feb', 0, None, None]","[131, 1, 'Mar', 0, None, None]","[172, 1, 'Dec', 0, None, None]","[123, 1, 'Feb', 0, None, None]","[162, 1, 'Feb', 0, None, None]","[119, 1, 'Nov', 0, None, None]","[115, 1, 'Mar', 0, None, None]","[122, 1, 'Nov', 0, None, None]","[115, 1, 'Dec', 0, None, None]",nan,nan,nan,2019-12-06 11:56:02
Lochwinnoch (Aird and Barr and Castle Semple),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[49, 1, 'Mar', 0, None, None]","[33, 1, 'Mar', 0, None, None]","[28, 1, 'Mar', 0, None, None]","[40, 1, 'Dec', 0, None, None]","[41, 1, 'Mar', 0, None, None]","[98, 1, 'Mar', 0, None, None]","[73, 1, 'Nov', 0, None, None]","[69, 1, 'Mar', 0, None, None]","[38, 1, 'Dec', 0, None, None]","[67, 1, 'Dec', 0, None, None]","[38, 1, 'Mar', 0, None, None]","[36, 1, 'Dec', 0, None, None]","[26, 1, 'Mar', 0, None, None]","[47, 1, 'Dec', 0, None, None]","[62, 1, 'Mar', 0, None, None]","[62, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[59, 1, 'Feb', 0, None, None]","[33, 1, 'Dec', 0, None, None]","[26, 1, 'Nov', 0, None, None]","[42, 1, 'Mar', 0, None, None]","[81, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[125, 1, 'Nov', 0, None, None]","[223, 1, 'Nov', 0, None, None]","[103, 1, 'Mar', 0, None, None]","[123, 1, 'Nov', 0, None, None]","[65, 1, 'Mar', 0, None, None]","[42, 1, 'Dec', 0, None, None]","[35, 1, 'Jan', 0, None, None]","[21, 1, 'Feb', 0, None, None]","[81, 1, 'Feb', 0, None, None]","[89, 1, 'Jan', 0, None, None]","[92, 1, 'Feb', 0, None, None]","[89, 1, 'Dec', 0, None, None]","[98, 1, 'Dec', 0, None, None]","[120, 1, 'Nov', 0, None, None]","[117, 1, 'Jan', 0, None, None]","[97, 1, 'Mar', 0, None, None]","[177, 1, 'Nov', 0, None, None]","[112, 1, 'Feb', 0, None, None]","[82, 1, 'Feb', 0, None, None]","[64, 1, 'Nov', 0, None, None]","[81, 1, 'Feb', 0, None, None]","[71, 1, 'Feb', 0, None, None]","[86, 1, 'Mar', 0, None, None]","[75, 1, 'Jan', 0, None, None]","[135, 1, 'Jan', 0, None, None]","[134, 1, 'Dec', 0, None, None]","[133, 1, 'Nov', 0, None, None]","[131, 1, 'Jan', 0, None, None]","[75, 1, 'Jan', 0, None, None]",nan,nan,nan,2019-12-06 11:56:02
Solway Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[125, 1, 'Feb', 0, None, None]","[25, 1, 'Nov', 0, None, None]","[117, 1, 'Dec', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[40, 1, 'Dec', 0, None, None]","[159, 1, 'Mar', 0, None, None]","[12, 1, 'Sep', 0, None, None]","[11, 1, 'Apr', 0, None, None]","[95, 1, 'Jan', 0, None, None]","[35, 1, 'Nov', 0, None, None]","[43, 1, 'Dec', 0, None, None]","[3, 1, 'Dec', 0, None, None]","[6, 1, 'Nov', 0, None, None]","[7, 1, 'Jan', 0, None, None]","[8, 1, 'Nov', 0, None, None]","[7, 1, 'Dec', 0, None, None]","[162, 1, 'Dec', 0, None, None]","[47, 1, 'Jan', 0, None, None]","[83, 1, 'Feb', 0, None, None]","[108, 1, 'Feb', 0, None, None]","[417, 2, 'Feb', 0, None, None]","[133, 1, 'Mar', 0, None, None]","[127, 1, 'Jan', 0, None, None]","[212, 1, 'Feb', 0, None, None]","[504, 1, 'Feb', 0, None, None]","[144, 1, 'Dec', 0, None, None]","[212, 1, 'Feb', 0, None, None]","[166, 1, 'Jan', 0, None, None]","[168, 1, 'Feb', 0, None, None]","[135, 1, 'Mar', 0, None, None]","[162, 1, 'Apr', 0, None, None]","[154, 1, 'Feb', 0, None, None]","[188, 1, 'Dec', 0, None, None]","[222, 1, 'Mar', 0, None, None]","[70, 1, 'Jan', 0, None, None]","[127, 1, 'Jan', 0, None, None]","[255, 1, 'Mar', 0, None, None]","[191, 1, 'Feb', 0, None, None]","[150, 1, 'Mar', 0, None, None]","[76, 1, 'Mar', 0, None, None]","[73, 2, 'Dec', 0, None, None]","[124, 1, 'Mar', 0, None, None]","[150, 1, 'Feb', 0, None, None]","[154, 1, 'Feb', 0, None, None]","[143, 1, 'Jan', 0, None, None]","[132, 1, 'Feb', 0, None, None]","[262, 1, 'Jan', 0, None, None]","[202, 1, 'Jan', 0, None, None]","[165, 1, 'Feb', 0, None, None]","[37, 1, 'Mar', 0, None, None]","[78, 1, 'Jan', 0, None, None]","[23, 2, 'Jan', 0, None, None]",nan,nan,nan,2019-12-06 11:56:02
