Site,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
"Wester Inch Ponds, Bathgate (Leyland Ponds)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 1, 'Mar', 0, None, None]","[2, 1, 'Jul', 0, None, None]","[6, 1, 'May', 0, None, None]","[6, 1, 'Mar', 0, None, None]","[1, 1, 'Aug', 0, None, None]","[6, 1, 'Mar', 0, None, None]","[6, 1, 'May', 0, None, None]","[8, 1, 'Jun', 0, None, None]",2019-12-04 19:46:05
Winthorpe Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[6, 1, 'Feb', 0, None, None]","[9, 1, 'Sep', 0, None, None]",nan,"[8, 1, 'May', 0, None, None]","[8, 1, 'Jan', 0, None, None]","[21, 1, 'Jan', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[7, 1, 'May', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[4, 1, 'Jun', 0, None, None]",nan,nan,2019-12-04 19:46:05
Wolverton Lake Kingsclere,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2, 2, 'Mar', 0, None, None]","[7, 2, 'Dec', 0, None, None]","[5, 2, 'Jan', 0, None, None]","[5, 2, 'Jan', 0, None, None]","[3, 2, 'Feb', 0, None, None]","[2, 2, 'Oct', 0, None, None]","[1, 2, 'Jan', 0, None, None]",2019-12-04 19:46:05
Wythall Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 1, 'Apr', 0, None, None]","[5, 1, 'Aug', 0, None, None]","[7, 1, 'Jul', 0, None, None]","[4, 1, 'Nov', 0, None, None]",2019-12-04 19:46:05
Yetholm Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[6, 1, 'Mar', 0, None, None]","[10, 1, 'Mar', 0, None, None]","[13, 1, 'Dec', 0, None, None]","[14, 1, 'Mar', 0, None, None]","[10, 1, 'Jan', 0, None, None]","[13, 1, 'Feb', 0, None, None]",nan,"[9, 1, 'Nov', 0, None, None]","[12, 1, 'Feb', 0, None, None]","[18, 1, 'Mar', 0, None, None]","[16, 1, 'Jan', 0, None, None]","[18, 1, 'Jan', 0, None, None]","[15, 1, 'Feb', 0, None, None]","[8, 1, 'Oct', 0, None, None]",nan,"[27, 1, 'Nov', 0, None, None]","[15, 1, 'Sep', 0, None, None]",nan,nan,nan,"[3, 1, 'Nov', 0, None, None]","[8, 1, 'Mar', 0, None, None]","[24, 1, 'Oct', 0, None, None]","[10, 1, 'Nov', 0, None, None]","[10, 1, 'Feb', 0, None, None]","[11, 1, 'Dec', 0, None, None]","[8, 1, 'Oct', 0, None, None]","[7, 1, 'Feb', 0, None, None]","[5, 1, 'Feb', 0, None, None]","[4, 1, 'Dec', 0, None, None]","[8, 1, 'Mar', 0, None, None]","[3, 1, 'Feb', 0, None, None]",2019-12-04 19:46:05
A1 Flashes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[6, 1, 'Jun', 0, None, None]","[10, 1, 'Jul', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[6, 1, 'Aug', 0, None, None]","[17, 1, 'Jun', 0, None, None]","[8, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[12, 1, 'Jan', 0, None, None]","[8, 1, 'May', 0, None, None]","[6, 1, 'Mar', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Feb', 0, None, None]",2019-12-04 19:46:05
Afon Cynon - Tirfounder Fields,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[11, 1, 'Apr', 0, None, None]","[12, 1, 'May', 0, None, None]","[19, 1, 'Mar', 0, None, None]","[17, 2, 'Mar', 0, None, None]","[19, 1, 'Nov', 0, None, None]","[15, 1, 'Sep', 0, None, None]","[8, 1, 'Nov', 0, None, None]","[5, 1, 'Apr', 0, None, None]","[3, 1, 'Oct', 0, None, None]","[4, 1, 'Apr', 0, None, None]","[9, 1, 'Apr', 0, None, None]","[9, 1, 'Apr', 0, None, None]","[5, 1, 'Apr', 0, None, None]","[7, 1, 'Aug', 0, None, None]","[5, 1, 'Oct', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[4, 1, 'Apr', 0, None, None]",2019-12-04 19:46:05
Alnmouth,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[5, 1, 'Apr', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Mar', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[4, 1, 'Apr', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[3, 1, 'Apr', 0, None, None]","[4, 1, 'May', 0, None, None]","[6, 1, 'Mar', 0, None, None]","[4, 1, 'Jul', 0, None, None]","[2, 1, 'Jul', 0, None, None]",2019-12-04 19:46:05
Altrincham Treatment Works,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2, 1, 'Mar', 0, None, None]","[17, 1, 'Feb', 0, None, None]","[9, 1, 'Feb', 0, None, None]","[5, 1, 'Oct', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[10, 1, 'Mar', 0, None, None]","[5, 1, 'Oct', 0, None, None]","[10, 1, 'Mar', 0, None, None]","[9, 1, 'Mar', 0, None, None]","[12, 1, 'Feb', 0, None, None]","[10, 1, 'Mar', 0, None, None]","[8, 1, 'Oct', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[2, 1, 'Aug', 0, None, None]","[5, 2, 'Feb', 0, None, None]",nan,nan,2019-12-04 19:46:05
Angmering Decoy Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2, 1, 'Nov', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[1, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[7, 1, 'Dec', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[4, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Oct', 0, None, None]",nan,nan,nan,"[6, 1, 'Oct', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[1, 1, 'Apr', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Jun', 0, None, None]","[4, 1, 'Nov', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[5, 1, 'Jul', 0, None, None]","[7, 1, 'Mar', 0, None, None]",2019-12-04 19:46:05
Ashfield Pools,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[2, 1, 'Apr', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,"[0, 1, '', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[2, 1, 'Jul', 0, None, None]","[6, 1, 'Jun', 0, None, None]","[6, 1, 'Jul', 0, None, None]",2019-12-04 19:46:05
Ashtead Park Ponds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Jun', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[7, 2, 'Jun', 0, None, None]","[6, 1, 'Jul', 0, None, None]","[5, 1, 'Apr', 0, None, None]","[7, 1, 'Aug', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]",2019-12-04 19:46:05
Banthorpe Gravel Pit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[5, 1, 'Apr', 0, None, None]","[5, 1, 'Apr', 0, None, None]","[7, 1, 'Oct', 0, None, None]","[2, 1, 'Apr', 0, None, None]","[3, 1, 'Mar', 0, None, None]","[2, 1, 'Jun', 0, None, None]",2019-12-04 19:46:05
Bolam Lake,nan,nan,"[38, 1, 'Oct', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,nan,nan,"[3, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[72, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[23, 1, 'Oct', 0, None, None]","[20, 1, 'Sep', 0, None, None]","[9, 1, 'Sep', 0, None, None]","[20, 1, 'Aug', 0, None, None]","[19, 1, 'Sep', 0, None, None]","[75, 1, 'Feb', 0, None, None]","[98, 1, 'Feb', 0, None, None]","[19, 1, 'Mar', 0, None, None]","[35, 1, 'Feb', 0, None, None]","[10, 1, 'Feb', 0, None, None]","[24, 1, 'Mar', 0, None, None]","[32, 1, 'Feb', 0, None, None]","[46, 1, 'Dec', 0, None, None]","[59, 1, 'Dec', 0, None, None]",nan,nan,nan,nan,"[52, 1, 'Dec', 0, None, None]","[26, 1, 'Feb', 0, None, None]","[15, 1, 'Oct', 0, None, None]","[12, 1, 'Mar', 0, None, None]","[3, 1, 'Jan', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[2, 1, 'Sep', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[13, 1, 'Mar', 0, None, None]","[3, 1, 'Nov', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'Sep', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[11, 1, 'Jan', 0, None, None]",2019-12-04 19:46:05
Bolney Mill Ponds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[4, 1, 'Jun', 0, None, None]","[4, 1, 'May', 0, None, None]","[2, 1, 'Jul', 0, None, None]",nan,"[3, 1, 'Mar', 0, None, None]","[4, 1, 'Dec', 0, None, None]",nan,"[4, 1, 'Mar', 0, None, None]",2019-12-04 19:46:05
Broadwater Lake (Farncombe),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[4, 1, 'Sep', 0, None, None]","[4, 1, 'Nov', 0, None, None]","[2, 1, 'Oct', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[1, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[5, 1, 'Feb', 0, None, None]","[3, 1, 'Mar', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[3, 1, 'Jun', 0, None, None]","[1, 1, 'Aug', 0, None, None]","[6, 1, 'May', 0, None, None]","[5, 1, 'Jul', 0, None, None]","[6, 1, 'Jul', 0, None, None]","[4, 1, 'Feb', 0, None, None]",2019-12-04 19:46:05
Broomlee Lough,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[302, 1, 'Oct', 0, None, None]","[324, 1, 'Nov', 0, None, None]","[270, 1, 'Sep', 0, None, None]","[106, 1, 'Aug', 0, None, None]","[20, 1, 'Sep', 0, None, None]","[16, 1, 'Sep', 0, None, None]","[72, 1, 'Nov', 0, None, None]","[156, 1, 'Oct', 0, None, None]","[60, 1, 'Oct', 0, None, None]","[62, 1, 'Sep', 0, None, None]","[48, 1, 'Nov', 0, None, None]","[156, 1, 'Oct', 0, None, None]",nan,"[40, 1, 'Oct', 0, None, None]",nan,nan,nan,nan,"[1, 1, 'Feb', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[2, 1, 'Oct', 0, None, None]",nan,nan,"[3, 1, 'Apr', 0, None, None]","[7, 1, 'Aug', 0, None, None]","[6, 1, 'Mar', 0, None, None]","[3, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[8, 1, 'Apr', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[9, 1, 'Oct', 0, None, None]","[2, 1, 'Apr', 0, None, None]","[2, 1, 'Jun', 0, None, None]","[8, 1, 'Nov', 0, None, None]",2019-12-04 19:46:05
Caerphilly Castle Moat,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[13, 1, 'Jan', 0, None, None]","[18, 1, 'Nov', 0, None, None]",nan,nan,nan,nan,nan,nan,"[14, 1, 'Feb', 0, None, None]",nan,"[21, 1, 'Nov', 0, None, None]","[21, 1, 'Dec', 0, None, None]","[29, 1, 'Feb', 0, None, None]","[23, 1, 'Dec', 0, None, None]","[24, 1, 'Jun', 0, None, None]","[17, 1, 'Apr', 0, None, None]","[11, 1, 'Jan', 0, None, None]","[8, 1, 'Jul', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[2, 1, 'Apr', 0, None, None]","[4, 1, 'Jul', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[2, 1, 'May', 0, None, None]","[2, 1, 'Jun', 0, None, None]","[4, 1, 'May', 0, None, None]","[6, 1, 'Mar', 0, None, None]","[6, 1, 'Oct', 0, None, None]","[8, 1, 'Dec', 0, None, None]","[8, 1, 'Oct', 0, None, None]","[5, 1, 'Jul', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[1, 1, 'Jul', 0, None, None]","[8, 1, 'Mar', 0, None, None]",2019-12-04 19:46:05
Caldarvan Loch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[6, 1, 'Mar', 0, None, None]","[6, 1, 'Mar', 0, None, None]","[5, 1, 'Jan', 0, None, None]","[2, 1, 'Nov', 0, None, None]",nan,nan,"[6, 1, 'Feb', 0, None, None]","[4, 1, 'Sep', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[8, 1, 'Aug', 0, None, None]","[16, 1, 'Mar', 0, None, None]","[4, 1, 'Oct', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[14, 1, 'Mar', 0, None, None]","[21, 1, 'Oct', 0, None, None]","[25, 1, 'Feb', 0, None, None]","[4, 1, 'Sep', 0, None, None]","[10, 1, 'Feb', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[2, 1, 'Oct', 0, None, None]","[4, 2, 'Oct', 0, None, None]","[3, 1, 'Sep', 0, None, None]","[3, 1, 'Mar', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[2, 1, 'Sep', 0, None, None]","[1, 1, 'Feb', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[3, 1, 'Mar', 0, None, None]","[6, 1, 'Oct', 0, None, None]","[9, 1, 'Nov', 0, None, None]","[5, 2, 'Nov', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[4, 2, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]",2019-12-04 19:46:05
Carisbrooke Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[5, 1, 'Nov', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[5, 1, 'Jan', 0, None, None]","[8, 1, 'Jul', 0, None, None]","[4, 1, 'Jul', 0, None, None]","[8, 1, 'Sep', 0, None, None]","[6, 1, 'Jul', 0, None, None]","[2, 1, 'May', 0, None, None]","[2, 1, 'Aug', 0, None, None]","[7, 1, 'Jun', 0, None, None]","[9, 1, 'Jul', 0, None, None]","[5, 1, 'Aug', 0, None, None]","[5, 1, 'Sep', 0, None, None]","[2, 1, 'Jan', 0, None, None]","[3, 1, 'Apr', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[3, 2, 'Jun', 0, None, None]",2019-12-04 19:46:05
Carr Lodge,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 1, 'May', 0, None, None]",2019-12-04 19:46:05
Cassop Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Apr', 0, None, None]","[5, 1, 'Jun', 0, None, None]","[5, 1, 'Jun', 0, None, None]",2019-12-04 19:46:05
Churchstoke Wildlife Park Pools,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2, 1, 'Apr', 0, None, None]","[7, 1, 'Feb', 0, None, None]",nan,nan,"[4, 1, 'Aug', 0, None, None]",2019-12-04 19:46:05
Clatto Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 1, 'Feb', 0, None, None]","[4, 1, 'Oct', 0, None, None]","[6, 1, 'Dec', 0, None, None]","[6, 1, 'Nov', 0, None, None]","[10, 1, 'Feb', 0, None, None]","[6, 1, 'Oct', 0, None, None]","[6, 1, 'Oct', 0, None, None]","[6, 1, 'Jan', 0, None, None]","[6, 1, 'Sep', 0, None, None]","[6, 1, 'Nov', 0, None, None]","[10, 1, 'Oct', 0, None, None]","[8, 1, 'Aug', 0, None, None]","[10, 1, 'Aug', 0, None, None]","[11, 1, 'Sep', 0, None, None]","[10, 1, 'Sep', 0, None, None]","[6, 1, 'Jun', 0, None, None]","[13, 1, 'Oct', 0, None, None]","[20, 1, 'Nov', 0, None, None]","[58, 1, 'Feb', 0, None, None]","[61, 1, 'Feb', 0, None, None]","[33, 1, 'Feb', 0, None, None]","[16, 1, 'Mar', 0, None, None]","[5, 1, 'Jun', 0, None, None]","[25, 1, 'Feb', 0, None, None]","[31, 1, 'Aug', 0, None, None]","[17, 1, 'Sep', 0, None, None]","[9, 1, 'Mar', 0, None, None]","[13, 1, 'Jun', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[18, 1, 'Nov', 0, None, None]","[8, 1, 'May', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[5, 1, 'Mar', 0, None, None]","[8, 1, 'Jul', 0, None, None]","[5, 1, 'Aug', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[2, 1, 'Jan', 0, None, None]","[2, 1, 'May', 0, None, None]","[2, 1, 'Jul', 0, None, None]",2019-12-04 19:46:05
Clowes Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 1, 'Jan', 0, None, None]","[4, 1, 'Oct', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[6, 1, 'Sep', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 1, 'Nov', 0, None, None]","[3, 1, 'Sep', 0, None, None]","[4, 1, 'Dec', 0, None, None]",2019-12-04 19:46:05
